Posting Type,Portfolio Name,Sub Portfolio,Property Name,Expedia ID,Expedia Review Status,Billing Type,From,To,Remaining/Direct Billed,Expedia Amount Reported to Property,Additional Revenue,Expedia Amount Confirmed by Property,,Booking ID,Booking.Com Review Status,Booking.com Amount to be Claimed,Booking.com Amount Confirmed by Property,,Agoda ID,AGODA Review Status,Amount to be Claimed From Agoda,Amount Confirmed by Property
OTA+,LIFEHOUSE,,Haven Montauk 10344456,10344456,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$322.38,,$322.38,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Hotel Ella 967384,967384,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$8,250.88",,"$8,250.88",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Hotel La Rose 7292445,7292445,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,833.68",,"$2,833.68",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Hotel Moloka'i 37170,37170,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$3,528.41",,"$3,528.41",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Life House Berkshires 76297618,76297618,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$801.55,,$801.55,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,"Life House, Little Havana 31960504",31960504,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,784.93",,"$2,784.93",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,"Life House, Lower Highlands 44446825",44446825,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$1,214.79",,"$1,214.79",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,"Life House, Nantucket 48529240",48529240,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,450.73",,"$2,450.73",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,"Life House, Palm Springs 1044191",1044191,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$1,055.55",,"$1,055.55",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,"Life House, South of Fifth 32472878",32472878,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$3,172.05",,"$3,172.05",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Loyal Duke Lodge 439702,439702,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$4,119.45",,"$4,119.45",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Mountaineer Inn 82906124,82906124,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$4,361.50",,"$4,361.50",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Rancho Caymus Inn 19106756,19106756,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$5,464.16",,"$5,464.16",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Salida Inn & Monarch Suites 180753,180753,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,690.85",,"$2,690.85",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Amigo Motor Lodge 15835346,15835346,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$680.26,,$680.26,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Bellwether Hotel 71986822,71986822,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$356.93,,$356.93,,7994394,Work Management,,,,,,,
OTA+,LIFEHOUSE,,The Historic Taos Inn 17050948,17050948,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$924.35,,$924.35,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Inn on Ferry Street 848357,848357,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$3,018.24",,"$3,018.24",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Metro Hotel 69680556,69680556,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$18,854.97",,"$18,854.97",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Shire Woodstock 10453651,10453651,Nothing To Report,VCC,9/1/2023,7/31/2024,Remaining,$0.00,$0.00,$0.00,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The Sunset Montauk 36936889,36936889,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$620.23,,$620.23,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,The White House Inn 2937372,2937372,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,297.90",,"$2,297.90",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Wheatleigh 3115,3115,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$541.08,,$541.08,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Wildflower Inn at Bell Rock 67814,67814,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$1,310.89",,"$1,310.89",,,Access Required,,,,,No Review Required,,
,,,,,,,,,,, ,,,,,,,,,,,
